,,,,Execution Time,Execution Time,Execution Time,Execution Time,Guesses,Guesses,Guesses,Guesses,Backtracks,Backtracks,Backtracks,Backtracks
,,,,min,max,mean,count,min,max,mean,count,min,max,mean,count
algorithm,search,guess,Zeros,,,,,,,,,,,,
backtracking,1,2,39.0,0.0063088000169955,0.026567899971269,0.007959403998684094,50,40.0,1097.0,118.3,50,1.0,1058.0,79.3,50
backtracking,1,2,40.0,0.006601299974136,0.0339852999895811,0.008866164003265974,50,44.0,1491.0,160.24,50,4.0,1451.0,120.24,50
backtracking,1,2,41.0,0.006379900034517,0.0158912999904714,0.008695077997399454,50,42.0,545.0,153.74,50,1.0,504.0,112.74,50
backtracking,1,2,42.0,0.0065244000288657,0.0220286000403575,0.009393926005577619,50,48.0,883.0,192.1,50,6.0,841.0,150.1,50
backtracking,1,2,43.0,0.0064735999912954,0.0217747999704442,0.010299280002945993,50,47.0,816.0,229.04,50,4.0,773.0,186.04,50
backtracking,1,2,44.0,0.0065704999724403,0.0804752999683842,0.014547849997179545,50,55.0,3880.0,450.54,50,11.0,3836.0,406.54,50
backtracking,1,2,45.0,0.0066487000440247,0.1923984999884851,0.018293287999695124,50,52.0,9486.0,653.82,50,7.0,9441.0,608.82,50
backtracking,2,1,24.0,0.0057528000324964,0.0063766000093892,0.005970307999523312,50,24.0,38.0,26.06,50,0.0,14.0,2.06,50
backtracking,2,1,25.0,0.005848100001458,0.0072136999806389,0.006150366003857874,50,25.0,72.0,30.18,50,0.0,47.0,5.18,50
backtracking,2,1,26.0,0.0058115000138059,0.0073638999601826,0.006082244003191541,50,26.0,48.0,29.52,50,0.0,22.0,3.52,50
backtracking,2,1,27.0,0.0058127000229433,0.0071217999793589,0.006178820000495719,50,27.0,102.0,34.26,50,0.0,75.0,7.26,50
backtracking,2,1,28.0,0.0057927999878302,0.0072317000012844,0.006111610002117184,50,28.0,83.0,34.6,50,0.0,55.0,6.6,50
backtracking,2,1,29.0,0.0058622999931685,0.0074165000114589,0.006172192000085442,50,29.0,100.0,37.46,50,0.0,71.0,8.46,50
backtracking,2,1,30.0,0.0058046999620273,0.0076407000306062,0.006142835996579332,50,30.0,146.0,40.96,50,0.0,116.0,10.96,50
backtracking,2,1,31.0,0.0058498000144027,0.0068803000031039,0.006224201999139006,50,31.0,87.0,43.12,50,0.0,56.0,12.12,50
backtracking,2,1,32.0,0.0059075999888591,0.007521399995312,0.0062784420012030285,50,32.0,107.0,45.22,50,0.0,75.0,13.22,50
backtracking,2,1,33.0,0.0059205000288784,0.0072090000030584,0.006320610003313002,50,33.0,119.0,50.1,50,0.0,86.0,17.1,50
backtracking,2,1,34.0,0.0058401999995112,0.0080944999936036,0.006291858004406048,50,34.0,203.0,52.1,50,0.0,169.0,18.1,50
backtracking,2,1,35.0,0.0058585000224411,0.0071341000148095,0.006337085993727623,50,35.0,106.0,52.3,50,0.0,71.0,17.3,50
backtracking,2,1,36.0,0.0059133000322617,0.0112155000097118,0.0066233499976805854,50,36.0,447.0,76.8,50,0.0,411.0,40.8,50
backtracking,2,1,37.0,0.0059212999767623,0.0132052999688312,0.006646399997407524,50,37.0,541.0,74.82,50,0.0,504.0,37.82,50
backtracking,2,1,38.0,0.0061549000092782,0.0114135000039823,0.00709795799804847,50,39.0,376.0,91.66,50,1.0,338.0,53.66,50
backtracking,2,1,39.0,0.0063105999724939,0.0090563999838195,0.007183031993918074,50,40.0,233.0,89.64,50,1.0,194.0,50.64,50
backtracking,2,1,40.0,0.0063369999988935,0.0289022999932058,0.008247940004803193,50,43.0,1525.0,167.9,50,3.0,1485.0,127.9,50
backtracking,2,1,41.0,0.0063472999609075,0.0245702000102028,0.00803301800158801,50,42.0,1325.0,152.86,50,1.0,1284.0,111.86,50
backtracking,2,1,42.0,0.0062505999812856,0.0558466999791562,0.00976171799935397,50,52.0,3753.0,300.48,50,10.0,3711.0,258.48,50
backtracking,2,1,43.0,0.0061969999806024,0.0492466000141575,0.010707213996211018,50,43.0,3143.0,363.08,50,0.0,3100.0,320.08,50
backtracking,2,1,44.0,0.006174899986945,0.0404841999989002,0.01220755600254047,50,54.0,2567.0,492.9,50,10.0,2523.0,448.9,50
backtracking,2,1,45.0,0.0063326000235974,0.0410657000029459,0.011454210004303557,50,56.0,2546.0,431.18,50,11.0,2501.0,386.18,50
backtracking,2,2,24.0,0.0060281999758444,0.008216300047934,0.006429937998764172,50,24.0,47.0,26.52,50,0.0,23.0,2.52,50
backtracking,2,2,25.0,0.0059020000044256,0.0068311000359244,0.0062284480000379915,50,25.0,58.0,27.48,50,0.0,33.0,2.48,50
backtracking,2,2,26.0,0.0059755999827757,0.0067140999599359,0.006235725999576932,50,26.0,43.0,29.14,50,0.0,17.0,3.14,50
backtracking,2,2,27.0,0.0059924999950453,0.0076909000054001,0.00647637400310482,50,27.0,61.0,32.34,50,0.0,34.0,5.34,50
backtracking,2,2,28.0,0.0060730999684892,0.0078137000091373,0.0063799939956515565,50,28.0,68.0,33.92,50,0.0,40.0,5.92,50
backtracking,2,2,29.0,0.0060779000050388,0.0070186000084504,0.006338072000071364,50,29.0,79.0,37.04,50,0.0,50.0,8.04,50
backtracking,2,2,30.0,0.0060055000358261,0.0076034000376239,0.006401507995324161,50,30.0,106.0,40.62,50,0.0,76.0,10.62,50
backtracking,2,2,31.0,0.0060781000065617,0.0072928000008687,0.006535397999687081,50,31.0,69.0,42.1,50,0.0,38.0,11.1,50
backtracking,2,2,32.0,0.0060984000447206,0.0074696000083349,0.00648915199562903,50,32.0,91.0,44.54,50,0.0,59.0,12.54,50
backtracking,2,2,33.0,0.0059731999645009,0.007878900039941,0.006554884000215632,50,33.0,123.0,51.38,50,0.0,90.0,18.38,50
backtracking,2,2,34.0,0.0060240000020712,0.0135050000390037,0.006909038003068369,50,34.0,199.0,60.52,50,0.0,165.0,26.52,50
backtracking,2,2,35.0,0.0060429999721236,0.0077798999845981,0.006676461994647934,50,37.0,106.0,54.26,50,2.0,71.0,19.26,50
backtracking,2,2,36.0,0.0062882999773137,0.0082323999959044,0.006888502008514435,50,36.0,139.0,62.94,50,0.0,103.0,26.94,50
backtracking,2,2,37.0,0.0061779000097885,0.0142887000110931,0.00725755399907935,50,37.0,454.0,81.68,50,0.0,417.0,44.68,50
